,y_lo,y_hi,h_lo,h_hi,result
171,12.8,12.9,21.0,22.0,unsafe
172,12.8,12.9,22.0,23.0,unsafe
173,12.8,12.9,23.0,24.0,unsafe
174,12.8,12.9,24.0,25.0,unsafe
175,12.8,12.9,25.0,26.0,unsafe
176,12.8,12.9,26.0,27.0,unsafe
177,12.8,12.9,27.0,28.0,unsafe
178,12.8,12.9,28.0,29.0,unsafe
179,12.8,12.9,29.0,30.0,unsafe
180,12.9,13.0,10.0,11.0,unsafe
181,12.9,13.0,11.0,12.0,unsafe
182,12.9,13.0,12.0,13.0,unsafe
183,12.9,13.0,13.0,14.0,unsafe
184,12.9,13.0,14.0,15.0,unsafe
185,12.9,13.0,15.0,16.0,unsafe
186,12.9,13.0,16.0,17.0,unsafe
187,12.9,13.0,17.0,18.0,unsafe
188,12.9,13.0,18.0,19.0,unsafe
189,12.9,13.0,19.0,20.0,unsafe
190,12.9,13.0,20.0,21.0,unsafe
191,12.9,13.0,21.0,22.0,unsafe
192,12.9,13.0,22.0,23.0,unsafe
193,12.9,13.0,23.0,24.0,unsafe
194,12.9,13.0,24.0,25.0,unsafe
195,12.9,13.0,25.0,26.0,unsafe
196,12.9,13.0,26.0,27.0,unsafe
197,12.9,13.0,27.0,28.0,unsafe
198,12.9,13.0,28.0,29.0,unsafe
199,12.9,13.0,29.0,30.0,unsafe
200,13.0,13.1,10.0,11.0,unsafe
201,13.0,13.1,11.0,12.0,unsafe
202,13.0,13.1,12.0,13.0,unsafe
203,13.0,13.1,13.0,14.0,unsafe
204,13.0,13.1,14.0,15.0,unsafe
205,13.0,13.1,15.0,16.0,unsafe
206,13.0,13.1,16.0,17.0,unsafe
207,13.0,13.1,17.0,18.0,unsafe
208,13.0,13.1,18.0,19.0,unsafe
209,13.0,13.1,19.0,20.0,unsafe
210,13.0,13.1,20.0,21.0,unsafe
211,13.0,13.1,21.0,22.0,unsafe
212,13.0,13.1,22.0,23.0,unsafe
213,13.0,13.1,23.0,24.0,unsafe
214,13.0,13.1,24.0,25.0,unsafe
215,13.0,13.1,25.0,26.0,unsafe
216,13.0,13.1,26.0,27.0,unsafe
217,13.0,13.1,27.0,28.0,unsafe
218,13.0,13.1,28.0,29.0,unsafe
219,13.0,13.1,29.0,30.0,unsafe
220,13.1,13.2,10.0,11.0,unsafe
221,13.1,13.2,11.0,12.0,unsafe
222,13.1,13.2,12.0,13.0,unsafe
223,13.1,13.2,13.0,14.0,unsafe
224,13.1,13.2,14.0,15.0,unsafe
225,13.1,13.2,15.0,16.0,unsafe
226,13.1,13.2,16.0,17.0,unsafe
227,13.1,13.2,17.0,18.0,unsafe
228,13.1,13.2,18.0,19.0,unsafe
229,13.1,13.2,19.0,20.0,unsafe
230,13.1,13.2,20.0,21.0,unsafe
231,13.1,13.2,21.0,22.0,unsafe
232,13.1,13.2,22.0,23.0,unsafe
